CIN,Company,RoC,Status
U74999MH2021OPC368405,AM DAILY SERVICES (OPC) PRIVATE LIMITED,Mumbai,Active
U24290MP2012PTC027713,BHARTI HYDRO CARBON PRIVATE LIMITED,Gwalior,Active
U99999UP1988PTC010251,NARAIN ROLLER FLOUR MILL PVT LTD,Kanpur,Strike Off
U74140MH2000PLC128371,DELIGHT PROTEINS LIMITED,Mumbai,Amalgamated
U67120MH1983PTC030832,MEHRA BROTHERS INVESTMENTS AND HOLDINGS PVT LTD,Mumbai,Strike Off
U90001TG2013PTC087206,JALAM ENVIRONMENT PRIVATE LIMITED,Hyderabad,Active
U64120MH2000PTC127378,SKYLARK COURIER SERVICES PRIVATE LIMITED,Mumbai,Strike Off
U24233DL2015OPC275011,REMCURE BIOLOGICS OPC PRIVATE LIMITED,Delhi,Strike Off
U51219RJ2011PTC036080,OPTIMUS SOCIUS EXIM PRIVATE LIMITED,Jaipur,Strike Off
U17299UR2019PTC009382,AQDAS MART PRIVATE LIMITED,Uttarakhand,Active
U72900TG2021PTC154045,VAGSTECH IT SERVICES PRIVATE LIMITED,Hyderabad,Active
U74999MH2015PTC261361,M-UJALA SOLARTECH PRIVATE LIMITED,Mumbai,Active
U23101WB1994PLC063811,NANGALIA HYDRO CARBON LTD,Kolkata,Active
U72200DL2015PTC285144,MEVLANA TECHNOLOGIES PRIVATE LIMITED,Delhi,Active
U25205MH2017PTC291608,SIRMAX INDIA PLASTICS PRIVATE LIMITED,Mumbai,Active
U72900MH2021PTC374020,MKUMARS TECH PRIVATE LIMITED,Mumbai,Active
U63040KL2000PLC014054,MALAYIL TOURISM LIMITED,Ernakulam,Strike Off
U17299WB1999PTC089205,AMBIKA SAREES PRIVATE LIMITED,Kolkata,Active
U15490TG2019PTC129623,VEDAGARBHA BEVERAGES PRIVATE LIMITED,Hyderabad,Active
U99999DL2000PTC002244,DELHI DEPARTMENTAL STORES PVT LTD.,Delhi,Strike Off
U55101TN1998PTC040369,MADRAS WOODLANDS HOTEL PRIVATE LIMITED,Chennai,Active
U74900DL2011PTC229057,J L M FABRIC PRIVATE LIMITED,Delhi,Strike Off
U24239DL2002PTC118037,AMITY DRUGS PRIVATE LIMITED,Delhi,Strike Off
U24299TN2019FTC129309,DFE PHARMA INDIA PRIVATE LIMITED,Chennai,Active
U72900DL2018PTC331292,FLYPUR TECHLABS PRIVATE LIMITED,Delhi,Active
U21029RJ2010PTC032688,TECHNOCRAFT ENERGY PRIVATE LIMITED,Jaipur,Active
U72300UP2015PTC068065,AASHNI INFOWEB PRIVATE LIMITED,Kanpur,Strike Off
U18101DL2002PTC114301,COUTURE CREATIONS PRIVATE LIMITED,Delhi,Strike Off
U51101PB2005PLC029181,PARSURAM TRADING LIMITED,Chandigarh,Amalgamated
U18100AP2005PTC046237,RAVALI SPINNERS PRIVATE LIMITED,Vijayawada,Active
U99999MH1972PTC015714,GONDAL THEATRES PVT LTD,Mumbai,Strike Off
U51397MH2004PTC145453,HANSA PHARMACUTICALS AND MARKETING PRIVATE LIMITED,Mumbai,Strike Off
U55209PN2020PTC195647,ARONA HOSPITALITY PRIVATE LIMITED,Pune,Active
U51909WB1997PTC082525,SHREYANSH FINTEX PRIVATE LIMITED,Kolkata,Active
U65929MH1995PTC091038,MONTEGO FINVESTRADE INDIA PRIVATE LIMITED,Pune,Active
U45200MH2007PTC174933,SHYAM SHELTERS PRIVATE LIMITED,Mumbai,Strike Off
U51909HR2018PTC075900,SINHMARRK AND SONS PRIVATE LIMITED,Delhi,Active
U45201GJ2011PLC067373,NEW LIFE PROCON LIMITED,Ahmedabad,Strike Off
U29199TZ2006PTC012785,ACHIEVE AUTOMATION INDIA PRIVATE LIMITED,Coimbatore,Active
U72900MH2021PTC353299,AVANTENOW GLOBAL SERVICES PRIVATE LIMITED,Mumbai,Active
U74899DL1994PTC057136,GARG POLY CHEM PRIVATE LIMITED,Delhi,Strike Off
U02710KA2005PTC035557,RANGA STEELS PRIVATE LIMITED,Bangalore,Strike Off
U65993WB1991PTC052652,TUNNY CREDIT & FINVEST PVT. LTD.,Kolkata,Not available for efiling
U74120UP2011PTC044117,SCM NETWORK MARKETING PRIVATE LIMITED,Kanpur,Strike Off
U21099UP2021PTC152204,MONAD BOARDS PRIVATE LIMITED,Kanpur,Active
U74140GJ1993PTC019304,KRISH INTECH PRIVATE LIMITED,Ahmedabad,Converted to LLP
U74999TN2018OPC125490,CODERS DREAM ALWAYS (OPC) PRIVATE LIMITED,Chennai,Active
U52190RJ2009PTC029238,DIVYA GROWTH CONCEPTS MARKETING PRIVATE LIMITED,Jaipur,Strike Off
U45200MP2011PTC025848,RAJGRAHI BUILDCON PRIVATE LIMITED,Gwalior,Active
U74999KA2019PTC130291,MONOZUKURI ENGINEERING PRIVATE LIMITED,Bangalore,Active
U74900CH2011PTC033159,EMERIN EDUCATION PRIVATE LIMITED,Chandigarh,Strike Off
U72200DL2005PTC144094,SUPPORT TECHNOLOGIES PRIVATE LIMITED,Delhi,Active
U17299TZ2020PTC033874,JP TEX PRIVATE LIMITED,Coimbatore,Active
U18209WB2019PTC232344,PALKIA ADVANCE MARKETING PRIVATE LIMITED,Kolkata,Active
U51909DL2004PTC127762,UNIMATRIX ASIA (INDIA) PRIVATE LIMITED,Delhi,Active
U72900TG2020PTC145411,SMAC-X INNO LABS PRIVATE LIMITED,Hyderabad,Active
U80902KA2020PTC140938,DR.GSK'S SOCIAL LAB PRIVATE LIMITED,Bangalore,Active
U51909WB2007PTC119772,SKYLARK VINIMAY PRIVATE LIMITED,Kolkata,Active
U70102DL2013PLC346127,GRAND REALTECH LIMITED,Delhi,Active
U74900MH2007PTC170803,FAMOUS LIGHT-O-SOUND PRIVATE LIMITED,Mumbai,Strike Off
